Date,Open,High,Low,Close,Volume
09/25/2024,31.05,31.09,30.58,30.78,"5,965,180"
09/24/2024,31.8,31.83,30.97,31.11,"6,341,290"
09/23/2024,31.73,31.83,31.52,31.7,"3,118,861"
09/20/2024,31.61,31.94,31.45,31.89,"11,733,090"
09/19/2024,31.54,31.68,31.34,31.5,"8,605,576"
09/18/2024,31.27,31.31,31.02,31.15,"4,199,100"
09/17/2024,31.4,31.44,31.09,31.21,"2,663,798"
09/16/2024,31.21,31.38,31.04,31.2,"4,254,118"
09/13/2024,31.39,31.47,31.01,31.15,"3,054,256"
9/12/2024,31.1,31.3,30.82,31.3,"4,852,083"
9/11/2024,31.45,31.49,30.68,30.84,"6,793,550"
9/10/2024,31.75,31.87,31.4,31.4,"4,665,168"
9/9/2024,31.33,31.7,31.15,31.52,"5,328,160"
9/6/2024,31.17,31.88,31.17,31.79,"6,764,391"
9/5/2024,30.66,31.25,30.55,31.25,"5,973,593"
9/4/2024,30.7,30.74,30.19,30.46,"5,745,230"
9/3/2024,30.63,31.02,30.54,30.95,"3,772,341"
9/2/2024,30.3,30.69,30.24,30.66,"3,547,468"
08/30/2024,30.2,30.4,30.09,30.4,"13,250,850"
08/29/2024,29.99,30.15,29.92,30.04,"4,559,793"
08/28/2024,29.6,29.92,29.44,29.92,"5,741,747"
08/27/2024,29.66,29.86,29.48,29.62,"3,478,652"
08/26/2024,29.49,29.78,29.31,29.67,"4,362,967"
08/23/2024,29.79,29.83,29.24,29.3,"6,020,287"
08/22/2024,30.07,30.19,29.87,29.95,"3,123,459"
08/21/2024,29.93,30.02,29.73,29.95,"4,789,583"
08/20/2024,29.9,30,29.7,29.93,"3,735,096"
08/19/2024,29.5,29.86,29.41,29.74,"3,762,318"
08/16/2024,29.51,29.7,29.37,29.59,"5,831,067"
08/15/2024,28.87,29.37,28.77,29.19,"5,224,880"
08/14/2024,28.85,29.26,28.66,28.73,"6,301,482"
08/13/2024,28.4,28.85,28.3,28.68,"4,529,767"
8/12/2024,28.22,28.33,28.15,28.22,"2,149,024"
8/9/2024,27.97,28.2,27.89,27.96,"3,391,865"
8/8/2024,27.32,27.83,27.25,27.65,"4,746,928"
8/7/2024,27.24,27.54,27.22,27.36,"5,337,333"
8/6/2024,27.4,27.76,27.3,27.3,"6,060,259"
8/5/2024,28.12,28.18,27.32,27.43,"9,503,042"
8/2/2024,28.88,29.05,28.5,28.71,"6,443,499"
8/1/2024,29.35,29.35,28.8,29.24,"4,848,635"
07/31/2024,28.62,29.08,28.6,29.05,"5,512,700"
07/30/2024,28.13,28.62,28.12,28.52,"9,537,350"
07/29/2024,29.36,29.45,28.82,28.82,"5,465,194"
07/26/2024,29.54,29.57,29.15,29.16,"4,506,357"
07/25/2024,29.25,29.41,29.23,29.32,"5,123,889"
07/24/2024,29.57,29.64,29.39,29.49,"3,803,414"
07/23/2024,29.69,29.85,29.52,29.71,"3,653,169"
07/22/2024,29.36,29.49,29.25,29.49,"5,069,764"
07/19/2024,29.79,29.8,29.39,29.71,"5,354,810"
07/18/2024,30.1,30.23,29.88,30.06,"4,412,064"
07/17/2024,29.86,30.1,29.82,29.97,"4,564,079"
07/16/2024,29.95,29.98,29.78,29.78,"3,498,413"
07/15/2024,29.7,29.91,29.63,29.83,"3,956,812"
7/12/2024,29.49,29.73,29.3,29.6,"3,794,678"
7/11/2024,29.9,29.93,29.27,29.34,"5,867,595"
7/10/2024,29.25,29.7,29.18,29.7,"5,396,169"
7/9/2024,28.92,29.29,28.9,29.29,"6,339,000"
7/8/2024,28.75,28.93,28.64,28.71,"3,671,315"
7/5/2024,28.46,28.67,28.39,28.65,"3,185,570"
7/4/2024,28.25,28.57,28.21,28.51,"3,329,759"
7/3/2024,28.42,28.53,28.13,28.15,"3,467,784"
7/2/2024,28.35,28.55,28.26,28.26,"3,369,308"
7/1/2024,28.1,28.46,28.02,28.45,"3,662,624"
06/28/2024,28.42,28.55,28.2,28.24,"4,170,036"
06/27/2024,28.05,28.29,27.9,28.29,"4,536,631"
06/26/2024,28.72,28.8,28.32,28.45,"4,705,597"
06/25/2024,28.8,28.98,28.71,28.82,"4,337,255"
06/24/2024,28.99,29.05,28.61,28.65,"3,514,862"
06/21/2024,29.18,29.22,28.91,28.94,"10,382,950"
06/20/2024,28.96,29.19,28.91,29.19,"5,641,731"
06/19/2024,29.24,29.29,29.03,29.13,"3,827,015"
06/18/2024,28.9,29.28,28.84,29.24,"5,233,842"
06/17/2024,28.64,28.89,28.6,28.8,"2,493,560"
06/14/2024,28.64,28.85,28.64,28.75,"2,417,355"
06/13/2024,28.91,29.05,28.74,28.77,"4,761,405"
6/12/2024,28.81,28.9,28.66,28.78,"2,854,039"
6/11/2024,28.93,29.04,28.66,28.91,"5,732,765"
6/7/2024,28.89,29.18,28.8,29.18,"3,401,449"
6/6/2024,28.96,29.13,28.84,29.06,"5,331,059"
6/5/2024,28.59,28.85,28.59,28.78,"5,364,028"
6/4/2024,28.58,28.68,28.48,28.59,"3,296,399"
6/3/2024,28.43,28.68,28.37,28.58,"4,575,388"
05/31/2024,28.16,28.25,27.92,28.25,"11,980,200"
05/30/2024,27.67,27.93,27.56,27.93,"4,226,567"
05/29/2024,28.3,28.36,27.86,27.87,"5,095,675"
05/28/2024,28.45,28.62,28.34,28.57,"3,399,004"
05/27/2024,28.38,28.54,28.24,28.43,"3,253,622"
05/24/2024,28.1,28.24,27.91,28.11,"3,442,908"
05/23/2024,28.41,28.5,28.18,28.38,"3,649,551"
05/22/2024,28.43,28.67,28.35,28.62,"5,874,712"
05/21/2024,28.15,28.4,28.1,28.31,"6,250,470"
05/20/2024,28.22,28.3,28.07,28.18,"2,685,871"
05/17/2024,28.08,28.26,27.99,28.13,"4,283,457"
05/16/2024,28.02,28.34,27.82,28.26,"8,271,224"
05/15/2024,28,28.13,27.6,27.68,"5,310,037"
05/14/2024,28.11,28.14,27.99,28.01,"3,841,646"
05/13/2024,28.03,28.26,27.87,28.21,"7,259,377"
5/10/2024,28.94,29.21,28.87,29.09,"6,947,337"
5/9/2024,29.05,29.11,28.71,28.79,"6,934,917"
5/8/2024,28.93,29.23,28.86,29.12,"10,751,250"
5/7/2024,28.3,28.88,27.99,28.79,"10,808,640"
5/6/2024,28.8,28.91,28.59,28.77,"4,199,565"
5/3/2024,28.43,28.61,28.29,28.48,"4,019,877"
5/2/2024,28.2,28.63,28.09,28.23,"4,339,818"
5/1/2024,27.87,28.08,27.85,28.08,"2,281,624"
04/30/2024,27.97,28.17,27.96,28.16,"2,814,971"
04/29/2024,28.18,28.23,27.95,28.07,"3,581,332"
04/26/2024,28.1,28.19,27.96,27.99,"4,547,943"
04/24/2024,28.69,28.75,28.49,28.54,"2,834,314"
04/23/2024,28.55,28.6,28.31,28.47,"3,115,090"
04/22/2024,28.2,28.58,28.11,28.23,"3,244,766"
04/19/2024,28.38,28.46,27.87,28.25,"6,603,843"
04/18/2024,28.3,28.64,28.3,28.56,"2,868,313"
04/17/2024,28.42,28.63,28.37,28.37,"2,698,652"
04/16/2024,28.79,28.9,28.19,28.36,"6,859,174"
04/15/2024,28.7,29,28.7,29,"4,257,408"
4/12/2024,28.94,29,28.79,28.95,"2,621,075"
4/11/2024,28.88,29.12,28.88,28.96,"3,966,431"
4/10/2024,29.43,29.53,29.27,29.38,"3,049,944"
4/9/2024,29.36,29.44,29.26,29.41,"2,791,456"
4/8/2024,29.3,29.33,29.08,29.22,"3,197,522"
4/5/2024,29,29.15,28.88,29.14,"3,688,589"
4/4/2024,29.16,29.32,29.05,29.16,"2,583,945"
4/3/2024,29.39,29.45,28.74,28.94,"5,386,559"
4/2/2024,29.2,29.49,29.11,29.39,"3,933,070"
03/28/2024,29.35,29.4,29.12,29.4,"5,705,923"
03/27/2024,29,29.43,29,29.26,"3,970,008"
03/26/2024,29.05,29.19,28.93,29.06,"3,166,633"
03/25/2024,29.15,29.36,29.09,29.15,"2,824,462"
03/22/2024,29.11,29.15,28.81,29.04,"8,020,839"
03/21/2024,28.9,29.1,28.78,29.01,"7,186,597"
03/20/2024,28.78,29.09,28.69,28.69,"4,796,330"
03/19/2024,28.89,28.99,28.65,28.8,"3,632,611"
03/18/2024,28.69,28.87,28.56,28.86,"3,078,718"
03/15/2024,28.39,28.69,27.95,28.69,"13,225,900"
03/14/2024,29.7,29.7,28.61,28.68,"6,443,874"
03/13/2024,29.5,29.82,29.35,29.8,"5,301,653"
3/12/2024,29.41,29.69,29.22,29.3,"5,782,592"
3/11/2024,29.65,29.7,29.1,29.24,"4,529,349"
3/8/2024,29.35,29.9,29.34,29.81,"5,844,907"
3/7/2024,28.9,29.3,28.89,29.3,"4,995,185"
3/6/2024,28.8,29.02,28.75,29.02,"4,287,829"
3/5/2024,28.81,28.86,28.63,28.73,"3,624,071"
3/4/2024,28.8,28.91,28.64,28.81,"3,317,012"
3/1/2024,28.44,28.75,28.35,28.75,"3,981,819"
02/29/2024,28.43,28.48,28.26,28.45,"10,061,770"
02/28/2024,28.45,28.55,28.35,28.48,"3,056,060"
02/27/2024,28.4,28.53,28.31,28.51,"3,773,640"
02/26/2024,28.3,28.44,28.21,28.37,"3,932,624"
02/23/2024,28.15,28.3,28.12,28.29,"4,306,990"
02/22/2024,28.08,28.09,27.85,28.02,"3,577,697"
02/21/2024,27.84,28.32,27.82,28.1,"8,582,817"
