Date,Open,High,Low,Close
09/25/2024,"8,156.00","8,179.10","8,115.00","8,126.40"
09/24/2024,"8,153.60","8,172.70","8,111.30","8,142.00"
09/23/2024,"8,192.80","8,193.40","8,131.50","8,152.90"
09/20/2024,"8,200.00","8,246.20","8,188.00","8,209.50"
09/19/2024,"8,158.60","8,200.30","8,133.10","8,191.90"
09/18/2024,"8,142.60","8,153.50","8,114.10","8,142.10"
09/17/2024,"8,128.60","8,150.50","8,128.60","8,140.90"
09/16/2024,"8,103.20","8,145.00","8,103.20","8,121.60"
09/13/2024,"8,085.00","8,143.60","8,085.00","8,099.90"
9/12/2024,"7,981.50","8,079.00","7,979.50","8,075.70"
9/11/2024,"8,013.90","8,024.50","7,963.90","7,987.90"
9/10/2024,"7,993.10","8,057.90","7,993.10","8,011.90"
9/9/2024,"8,002.90","8,004.00","7,918.90","7,988.10"
9/6/2024,"7,984.80","8,030.30","7,984.10","8,013.40"
9/5/2024,"7,961.40","7,991.80","7,955.20","7,982.40"
9/4/2024,"8,083.20","8,083.20","7,928.50","7,950.50"
9/3/2024,"8,107.30","8,110.20","8,073.70","8,103.20"
9/2/2024,"8,091.80","8,116.90","8,041.30","8,109.90"
08/30/2024,"8,051.60","8,091.90","8,050.80","8,091.90"
08/29/2024,"8,061.00","8,061.00","8,017.70","8,045.10"
08/28/2024,"8,061.40","8,071.40","8,008.90","8,071.40"
08/27/2024,"8,096.70","8,107.30","8,062.40","8,071.20"
08/26/2024,"8,030.70","8,086.70","8,030.70","8,084.50"
08/23/2024,"8,019.90","8,026.80","7,990.30","8,023.90"
08/22/2024,"8,016.50","8,039.70","8,016.50","8,027.00"
08/21/2024,"7,995.70","8,010.50","7,951.50","8,010.50"
08/20/2024,"7,992.00","8,025.20","7,986.40","7,997.70"
08/19/2024,"7,961.90","7,990.90","7,950.60","7,980.40"
08/16/2024,"7,887.60","7,976.90","7,887.60","7,971.10"
08/15/2024,"7,846.60","7,898.70","7,846.60","7,865.50"
08/14/2024,"7,828.10","7,910.20","7,828.10","7,850.70"
08/13/2024,"7,813.80","7,835.20","7,801.60","7,826.80"
8/12/2024,"7,782.70","7,836.80","7,780.80","7,813.70"
8/9/2024,"7,701.20","7,795.10","7,700.60","7,777.70"
8/8/2024,"7,690.10","7,703.40","7,644.20","7,682.00"
8/7/2024,"7,679.50","7,738.20","7,643.30","7,699.80"
8/6/2024,"7,649.30","7,713.70","7,628.10","7,680.60"
8/5/2024,"7,915.00","7,916.80","7,635.50","7,649.60"
8/2/2024,"8,086.90","8,086.90","7,920.00","7,943.20"
8/1/2024,"8,107.30","8,148.70","8,105.40","8,114.70"
07/31/2024,"7,952.80","8,092.30","7,952.80","8,092.30"
07/30/2024,"7,971.00","7,971.40","7,894.30","7,953.20"
07/29/2024,"7,932.60","8,000.00","7,932.30","7,989.60"
07/26/2024,"7,877.00","7,938.30","7,875.80","7,921.30"
07/25/2024,"7,951.20","7,953.20","7,861.20","7,861.20"
07/24/2024,"7,966.90","7,973.80","7,944.30","7,963.70"
07/23/2024,"7,942.60","7,993.30","7,942.60","7,971.10"
07/22/2024,"7,963.60","7,963.60","7,902.40","7,931.70"
