Date,Open,High,Low,Close,Volume
09/25/2024,"38.49","38.49","37.16","37.48","7,306,494"
09/24/2024,"39.65","39.83","38.29","38.50","5,337,711"
09/23/2024,"39.45","39.77","39.32","39.70","2,425,216"
09/20/2024,"39.66","39.77","39.36","39.67","12,534,110"
09/19/2024,"39.75","39.75","39.20","39.50","7,331,750"
09/18/2024,"38.91","39.42","38.82","39.42","5,102,253"
09/17/2024,"38.90","38.90","38.60","38.86","2,220,148"
09/16/2024,"38.50","38.81","38.34","38.78","3,792,159"
09/13/2024,"39.00","39.07","38.07","38.28","4,780,929"
09/12/2024,"38.68","38.78","38.48","38.76","6,090,940"
09/11/2024,"38.89","39.00","38.13","38.38","3,617,429"
09/10/2024,"39.15","39.40","38.95","38.95","2,889,808"
09/09/2024,"38.40","38.93","38.40","38.93","3,911,396"
09/06/2024,"38.64","39.05","38.54","39.05","4,166,943"
09/05/2024,"38.29","38.61","38.21","38.50","4,833,345"
09/04/2024,"38.51","38.53","37.53","37.95","5,226,560"
09/03/2024,"38.55","38.97","38.45","38.92","2,721,576"
09/02/2024,"38.08","38.72","37.96","38.65","2,913,884"
08/30/2024,"38.17","38.20","37.92","38.17","6,747,924"
08/29/2024,"37.70","38.16","37.63","37.94","4,606,120"
08/28/2024,"37.19","37.70","36.90","37.70","6,163,725"
08/27/2024,"37.74","37.88","37.18","37.36","2,762,875"
08/26/2024,"37.11","37.75","36.92","37.75","5,040,735"
08/23/2024,"36.84","37.00","36.74","36.93","2,579,036"
08/22/2024,"36.92","36.98","36.81","36.90","2,487,601"
08/21/2024,"36.98","37.03","36.70","36.81","5,314,061"
08/20/2024,"36.96","37.09","36.65","36.88","3,707,615"
08/19/2024,"36.70","37.07","36.48","36.91","3,548,273"
08/16/2024,"36.33","36.59","36.26","36.48","5,485,551"
08/15/2024,"35.88","36.45","35.83","35.94","4,070,165"
08/14/2024,"36.54","36.57","35.70","35.79","3,781,396"
08/13/2024,"36.06","36.33","36.05","36.20","2,459,466"
08/12/2024,"36.07","36.19","35.93","35.99","1,782,890"
08/09/2024,"35.73","35.79","35.43","35.63","2,142,901"
08/08/2024,"34.88","35.43","34.70","35.31","4,674,381"
08/07/2024,"34.92","35.14","34.67","34.74","5,362,260"
08/06/2024,"34.92","35.36","34.77","35.05","6,830,435"
08/05/2024,"35.67","35.69","34.70","34.81","6,510,793"
08/02/2024,"37.10","37.14","36.43","36.50","8,889,056"
08/01/2024,"38.77","38.85","38.05","38.05","4,366,141"
07/31/2024,"37.99","38.58","37.93","38.58","5,868,178"
07/30/2024,"37.58","37.97","37.39","37.92","2,726,453"
07/29/2024,"37.77","37.97","37.74","37.90","2,559,078"
07/26/2024,"37.50","37.54","37.34","37.41","2,881,664"
07/25/2024,"37.27","37.46","37.12","37.24","5,140,904"
07/24/2024,"37.29","37.64","37.25","37.59","2,880,777"
07/23/2024,"37.08","37.58","37.08","37.36","2,778,041"
07/22/2024,"36.95","37.06","36.80","36.92","2,984,818"
07/19/2024,"37.15","37.30","37.10","37.24","7,213,567"
07/18/2024,"37.88","38.08","37.62","37.69","5,654,820"
07/17/2024,"37.57","37.82","37.41","37.77","4,124,830"
07/16/2024,"37.50","37.68","37.34","37.38","3,283,901"
07/15/2024,"37.25","37.50","37.15","37.25","3,417,585"
07/12/2024,"36.64","36.98","36.37","36.95","4,191,078"
07/11/2024,"36.39","36.49","36.06","36.20","3,482,932"
07/10/2024,"35.71","35.90","35.59","35.82","2,359,635"
07/09/2024,"35.65","35.84","35.36","35.84","3,415,266"
07/08/2024,"35.27","35.38","35.13","35.33","2,553,538"
07/05/2024,"35.65","35.68","35.15","35.33","2,859,689"
07/04/2024,"35.83","35.88","35.64","35.77","2,619,523"
07/03/2024,"35.80","35.85","35.37","35.45","3,243,753"
07/02/2024,"35.93","35.99","35.58","35.69","3,963,039"
07/01/2024,"35.75","36.18","35.74","36.07","2,677,964"
06/28/2024,"36.26","36.44","36.07","36.23","4,327,517"
06/27/2024,"35.75","36.03","35.46","36.03","4,333,809"
06/26/2024,"36.60","36.65","36.24","36.29","3,532,444"
06/25/2024,"36.28","36.72","36.19","36.69","3,892,386"
06/24/2024,"36.20","36.46","35.96","35.96","3,375,016"
06/21/2024,"36.24","36.28","35.75","36.21","13,789,400"
06/20/2024,"36.42","36.42","36.02","36.19","6,305,062"
06/19/2024,"35.80","36.17","35.77","36.17","3,890,287"
06/18/2024,"35.55","36.00","35.49","36.00","5,133,836"
06/17/2024,"34.96","35.29","34.89","35.26","3,707,804"
06/14/2024,"34.95","35.09","34.83","35.02","8,501,284"
06/13/2024,"35.16","35.23","34.93","35.01","3,817,361"
06/12/2024,"34.70","34.80","34.48","34.74","3,601,408"
06/11/2024,"34.91","35.00","34.64","34.87","4,942,991"
06/07/2024,"34.89","35.23","34.76","35.23","3,276,495"
06/06/2024,"34.90","35.04","34.73","35.00","5,136,740"
06/05/2024,"34.65","34.83","34.55","34.80","5,762,481"
06/04/2024,"34.60","34.80","34.50","34.56","4,146,905"
06/03/2024,"34.17","34.46","34.00","34.46","3,812,520"
05/31/2024,"33.87","33.91","33.62","33.91","7,943,237"
05/30/2024,"33.30","33.69","33.30","33.61","2,500,897"
05/29/2024,"33.83","33.89","33.49","33.65","4,202,116"
05/28/2024,"34.40","34.43","34.09","34.28","3,353,040"
05/27/2024,"34.14","34.38","34.09","34.23","2,126,570"
05/24/2024,"34.00","34.03","33.73","33.96","3,215,630"
05/23/2024,"34.48","34.48","34.10","34.40","3,351,263"
05/22/2024,"34.75","34.83","34.56","34.79","3,520,860"
05/21/2024,"34.71","34.72","34.45","34.71","3,571,338"
05/20/2024,"34.56","34.73","34.47","34.73","2,882,863"
05/17/2024,"34.39","34.63","34.21","34.53","6,616,199"
05/16/2024,"34.10","34.60","33.95","34.56","6,582,001"
05/15/2024,"34.10","34.13","33.72","33.75","3,524,921"
05/14/2024,"34.00","34.10","33.82","33.99","3,507,424"
05/13/2024,"33.65","34.05","33.63","34.04","2,458,302"
05/10/2024,"33.69","34.05","33.62","33.81","3,585,325"
05/09/2024,"33.99","34.00","33.48","33.52","3,836,566"
05/08/2024,"34.24","34.31","33.62","33.96","5,747,178"
05/07/2024,"34.12","34.20","33.64","34.14","10,232,320"
05/06/2024,"34.80","34.80","34.53","34.66","3,525,805"
05/03/2024,"34.40","34.52","34.11","34.40","5,301,908"
05/02/2024,"33.83","34.74","33.83","34.28","5,712,929"
05/01/2024,"33.41","33.97","33.41","33.79","3,146,879"
04/30/2024,"33.57","33.82","33.45","33.80","2,943,452"
04/29/2024,"33.90","33.90","33.60","33.62","3,107,622"
04/26/2024,"33.90","33.90","33.47","33.51","3,551,145"
04/24/2024,"34.10","34.23","33.98","34.00","3,464,445"
04/23/2024,"33.78","33.89","33.59","33.84","3,715,828"
04/22/2024,"33.41","33.65","33.36","33.40","3,021,090"
04/19/2024,"33.08","33.20","32.60","33.06","7,116,902"
04/18/2024,"33.16","33.67","33.16","33.45","3,159,070"
04/17/2024,"33.27","33.40","33.15","33.15","2,497,312"
04/16/2024,"33.65","33.71","33.13","33.36","5,474,157"
04/15/2024,"33.86","34.02","33.71","33.93","3,258,185"
04/12/2024,"34.07","34.24","34.04","34.15","2,326,522"
04/11/2024,"34.20","34.41","34.10","34.30","3,154,881"
04/10/2024,"34.70","34.79","34.52","34.63","2,379,941"
04/09/2024,"34.66","34.71","34.47","34.63","2,320,722"
04/08/2024,"34.45","34.59","34.26","34.45","2,213,669"
04/05/2024,"34.13","34.33","33.96","34.33","2,916,499"
04/04/2024,"34.78","34.80","34.13","34.39","3,319,693"
04/03/2024,"34.65","34.81","34.10","34.43","4,353,003"
04/02/2024,"34.45","34.82","34.34","34.82","4,564,993"
03/28/2024,"34.85","34.92","34.51","34.64","3,996,214"
03/27/2024,"34.31","34.74","34.30","34.69","2,974,569"
03/26/2024,"34.43","34.59","34.23","34.46","4,672,803"
03/25/2024,"34.90","34.95","34.55","34.56","3,380,216"
03/22/2024,"34.61","34.76","34.26","34.76","8,582,421"
03/21/2024,"34.69","34.91","34.25","34.78","9,264,397"
03/20/2024,"34.21","34.35","33.91","33.91","4,521,167"
03/19/2024,"33.97","34.14","33.81","33.94","3,048,462"
03/18/2024,"33.70","34.03","33.58","34.03","3,711,505"
