Date,Open,High,Low,Close,Volume
09/25/2024,"32.78","32.85","32.37","32.55","6,942,104"
09/24/2024,"33.66","33.78","32.63","32.82","6,820,936"
09/23/2024,"33.48","33.73","33.37","33.61","5,008,709"
09/20/2024,"33.60","33.65","33.39","33.57","12,860,330"
09/19/2024,"33.40","33.60","33.27","33.37","8,464,866"
09/18/2024,"33.11","33.23","32.94","33.16","4,843,562"
09/17/2024,"33.10","33.16","32.97","33.03","5,833,374"
09/16/2024,"32.27","32.79","32.22","32.79","6,466,219"
09/13/2024,"32.37","32.44","31.87","32.10","4,729,034"
09/12/2024,"32.21","32.31","32.02","32.30","4,055,417"
09/11/2024,"32.24","32.24","31.64","31.84","5,644,717"
09/10/2024,"32.15","32.44","32.12","32.31","5,537,565"
09/09/2024,"31.51","31.91","31.40","31.87","8,473,409"
09/06/2024,"31.58","32.17","31.57","32.10","5,765,488"
09/05/2024,"31.45","31.73","31.37","31.58","6,247,377"
09/04/2024,"31.39","31.46","30.90","31.13","4,958,411"
09/03/2024,"31.45","31.88","31.41","31.81","3,615,261"
09/02/2024,"31.20","31.66","31.12","31.60","3,621,973"
08/30/2024,"31.14","31.24","31.03","31.24","9,395,151"
08/29/2024,"30.85","31.13","30.83","31.08","5,668,887"
08/28/2024,"30.42","30.83","30.30","30.83","5,747,103"
08/27/2024,"30.64","30.72","30.42","30.49","3,591,769"
08/26/2024,"30.15","30.67","30.12","30.67","5,726,896"
08/23/2024,"30.00","30.14","29.90","30.03","4,066,401"
08/22/2024,"30.28","30.37","30.05","30.05","4,280,752"
08/21/2024,"30.30","30.39","30.05","30.28","7,386,719"
08/20/2024,"30.49","30.56","30.17","30.32","4,826,973"
08/19/2024,"30.00","30.43","29.90","30.40","8,934,457"
08/16/2024,"29.65","29.72","29.39","29.66","8,397,581"
08/15/2024,"28.99","29.51","28.96","29.30","6,570,740"
08/14/2024,"28.80","28.99","28.69","28.85","5,408,159"
08/13/2024,"28.40","28.58","28.33","28.52","3,661,482"
08/12/2024,"28.36","28.41","28.20","28.22","2,337,013"
08/09/2024,"28.14","28.17","27.90","28.05","3,394,444"
08/08/2024,"27.75","27.95","27.53","27.85","3,925,805"
08/07/2024,"27.66","27.86","27.51","27.62","4,124,271"
08/06/2024,"27.74","28.06","27.51","27.82","5,845,712"
08/05/2024,"28.17","28.17","27.51","27.68","8,532,750"
08/02/2024,"29.14","29.17","28.76","28.98","7,834,009"
08/01/2024,"29.91","29.94","29.63","29.71","5,010,166"
07/31/2024,"29.20","29.80","29.13","29.80","7,975,569"
07/30/2024,"28.74","29.08","28.53","29.08","4,807,242"
07/29/2024,"28.80","29.02","28.77","28.99","5,109,303"
07/26/2024,"28.50","28.59","28.40","28.59","4,759,576"
07/25/2024,"28.27","28.36","28.17","28.34","6,930,165"
07/24/2024,"28.28","28.53","28.27","28.53","4,183,116"
07/23/2024,"28.20","28.47","28.16","28.32","4,521,504"
07/22/2024,"27.94","28.13","27.89","28.07","3,483,203"
07/19/2024,"28.18","28.27","27.99","28.22","6,150,706"
07/18/2024,"28.48","28.65","28.37","28.48","4,434,212"
07/17/2024,"28.30","28.52","28.20","28.48","5,155,806"
07/16/2024,"28.20","28.28","28.10","28.18","3,972,703"
07/15/2024,"28.04","28.22","28.00","28.11","3,628,724"
07/12/2024,"27.75","27.99","27.72","27.90","4,341,930"
07/11/2024,"27.85","27.97","27.54","27.63","5,529,161"
07/10/2024,"27.54","27.59","27.42","27.52","5,059,279"
07/09/2024,"27.36","27.68","27.33","27.68","6,537,212"
07/08/2024,"27.22","27.36","27.11","27.13","2,995,740"
07/05/2024,"27.34","27.34","27.12","27.20","2,472,480"
07/04/2024,"27.29","27.37","27.18","27.35","3,973,339"
